Timestamp(ms),PlayerRotX,PlayerRotY,TargetRotX,TargetRotY,Fired,HitTarget
7016.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
7038.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
7058.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
7067.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
7089.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
7099.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
7121.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
7132.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
7154.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
7164.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
7183.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
7206.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
7214.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
7235.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
7256.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
7266.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
7290.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
7299.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
7319.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
7339.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
7350.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
7371.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
7381.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
7405.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
7414.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
7556.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
7583.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
7595.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
7606.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
7627.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
7639.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
7660.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
7681.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
7693.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
7714.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
7725.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
7746.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
7766.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
7773.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
7791.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
7812.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
7823.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
7844.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
7863.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
7874.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
7895.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
7907.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
7926.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
7947.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
7958.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
7978.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
7989.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
8007.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
8028.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
8039.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
8061.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
8082.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
8091.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
8114.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
8124.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
8145.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
8157.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
8177.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
8198.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
8208.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
8229.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
8239.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
8263.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
8273.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
8293.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
8314.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
8325.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
8347.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
8357.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
8380.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
8390.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
